project,issuekey,issuetype,from_flow_id,to_flow_id,cycle,rolling_cycle
BBSDEV,BBSDEV-16618,Task,2010014,3010003,17.0,17.0
BBSDEV,BBSDEV-16618,Task,3010003,4012101,9.0,26.0
BBSDEV,BBSDEV-16618,Task,4012101,5000006,,26.0
BBSDEV,BBSDEV-16619,Task,,1000001,1.0,1.0
BBSDEV,BBSDEV-16619,Task,1000001,2010014,0.0,1.0
BBSDEV,BBSDEV-16619,Task,2010014,3000006,,1.0
BBSDEV,BBSDEV-16623,Epic,,1000001,28.0,28.0
BBSDEV,BBSDEV-16623,Epic,1000001,2010014,0.0,28.0
BBSDEV,BBSDEV-16623,Epic,2010014,3010003,0.0,28.0
BBSDEV,BBSDEV-16623,Epic,3010003,4010014,0.0,28.0
BBSDEV,BBSDEV-16623,Epic,4010014,5010006,0.0,28.0
BBSDEV,BBSDEV-16623,Epic,5010006,6000001,132.0,160.0
BBSDEV,BBSDEV-16623,Epic,6000001,7010006,3.0,163.0
BBSDEV,BBSDEV-16623,Epic,7010006,8014002,35.0,198.0
BBSDEV,BBSDEV-16623,Epic,8014002,9010001,,198.0
BBSDEV,BBSDEV-16624,Sub-task,,1000001,28.0,28.0
BBSDEV,BBSDEV-16624,Sub-task,1000001,2000006,,28.0
BBSDEV,BBSDEV-16625,Sub-task,,1000001,28.0,28.0
BBSDEV,BBSDEV-16625,Sub-task,1000001,2000006,,28.0
BBSDEV,BBSDEV-16627,Task,,1000001,28.0,28.0
BBSDEV,BBSDEV-16627,Task,1000001,2010014,0.0,28.0
BBSDEV,BBSDEV-16627,Task,2010014,3010003,1.0,29.0
BBSDEV,BBSDEV-16627,Task,3010003,4010014,0.0,29.0
BBSDEV,BBSDEV-16627,Task,4010014,5000001,134.0,163.0
BBSDEV,BBSDEV-16627,Task,5000001,6000006,,163.0
BBSDEV,BBSDEV-16629,Task,,1000001,0.0,0.0
BBSDEV,BBSDEV-16629,Task,1000001,2010014,0.0,0.0
BBSDEV,BBSDEV-16629,Task,2010014,3010003,2.0,2.0
BBSDEV,BBSDEV-16629,Task,3010003,4000006,,2.0
BBSDEV,BBSDEV-16630,Task,,1000001,0.0,0.0
BBSDEV,BBSDEV-16630,Task,1000001,2010014,0.0,0.0
BBSDEV,BBSDEV-16630,Task,2010014,3010003,2.0,2.0
BBSDEV,BBSDEV-16630,Task,3010003,4000006,,2.0
BBSDEV,BBSDEV-16632,Task,,1000001,0.0,0.0
BBSDEV,BBSDEV-16632,Task,1000001,2010014,23.0,23.0
BBSDEV,BBSDEV-16632,Task,2010014,3000001,339.0,362.0
BBSDEV,BBSDEV-16632,Task,3000001,4010014,0.0,362.0
BBSDEV,BBSDEV-16632,Task,4010014,5010003,0.0,362.0
BBSDEV,BBSDEV-16632,Task,5010003,6000006,,362.0
BBSDEV,BBSDEV-16633,Task,,1000001,2.0,2.0
BBSDEV,BBSDEV-16633,Task,1000001,2010014,0.0,2.0
BBSDEV,BBSDEV-16633,Task,2010014,3010003,19.0,21.0
BBSDEV,BBSDEV-16633,Task,3010003,4000006,,21.0
BBSDEV,BBSDEV-16634,Task,,1000001,363.0,363.0
BBSDEV,BBSDEV-16634,Task,1000001,2010014,0.0,363.0
BBSDEV,BBSDEV-16634,Task,2010014,3010003,1.0,364.0
BBSDEV,BBSDEV-16634,Task,3010003,4000006,,364.0
BBSDEV,BBSDEV-16635,Task,,1000001,0.0,0.0
BBSDEV,BBSDEV-16635,Task,1000001,2010014,0.0,0.0
BBSDEV,BBSDEV-16635,Task,2010014,3010003,13.0,13.0
BBSDEV,BBSDEV-16635,Task,3010003,4000006,,13.0
BBSDEV,BBSDEV-16638,Task,,1000001,10.0,10.0
BBSDEV,BBSDEV-16638,Task,1000001,2010014,4.0,14.0
BBSDEV,BBSDEV-16638,Task,2010014,3000001,0.0,14.0
BBSDEV,BBSDEV-16638,Task,3000001,4010014,33.0,47.0
BBSDEV,BBSDEV-16638,Task,4010014,5010003,1.0,48.0
BBSDEV,BBSDEV-16638,Task,5010003,6000006,,48.0
