project,issuekey,issuetype,rnk,status,leading_status,lagging_status,category,leading_category,lagging_category,created,started,finished,cycle,rolling_cycle
BBSDEV,BBSDEV-16385,Task,2,Closed,Open,,Done,ToDo,,2017-11-12 23:39:00,2017-12-08 03:53:22.525,,,25.0
BBSDEV,BBSDEV-16386,Task,1,Open,,In progress,ToDo,,Doing,2017-11-12 23:47:00,2017-11-12 23:47:00,2017-12-08 03:54:05.306,25.0,25.0
BBSDEV,BBSDEV-16386,Task,2,In progress,Open,Closed,Doing,ToDo,Done,2017-11-12 23:47:00,2017-12-08 03:54:05.306,2018-01-29 06:51:37.284,52.0,77.0
BBSDEV,BBSDEV-16386,Task,3,Closed,In progress,,Done,Doing,,2017-11-12 23:47:00,2018-01-29 06:51:37.284,,,77.0
BBSDEV,BBSDEV-16388,Task,1,Open,,In progress,ToDo,,Doing,2017-11-12 23:51:00,2017-11-12 23:51:00,2017-12-08 03:54:07.878,25.0,25.0
BBSDEV,BBSDEV-16388,Task,2,In progress,Open,Closed,Doing,ToDo,Done,2017-11-12 23:51:00,2017-12-08 03:54:07.878,2018-01-15 06:39:18.402,38.0,63.0
BBSDEV,BBSDEV-16388,Task,3,Closed,In progress,,Done,Doing,,2017-11-12 23:51:00,2018-01-15 06:39:18.402,,,63.0
BBSDEV,BBSDEV-16393,Task,1,Triage,,Open,ToDo,,ToDo,2017-11-13 23:36:00,2017-11-13 23:36:00,2017-12-08 04:35:02.991,24.0,24.0
BBSDEV,BBSDEV-16393,Task,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-11-13 23:36:00,2017-12-08 04:35:02.991,2017-12-08 04:35:05.238,0.0,24.0
BBSDEV,BBSDEV-16393,Task,3,In progress,Open,Code review,Doing,ToDo,Doing,2017-11-13 23:36:00,2017-12-08 04:35:05.238,2017-12-12 00:30:05.109,3.0,27.0
BBSDEV,BBSDEV-16393,Task,4,Code review,In progress,Quality Review,Doing,Doing,Doing,2017-11-13 23:36:00,2017-12-12 00:30:05.109,2017-12-12 00:30:07.909,0.0,27.0
BBSDEV,BBSDEV-16393,Task,5,Quality Review,Code review,Closed,Doing,Doing,Done,2017-11-13 23:36:00,2017-12-12 00:30:07.909,2017-12-12 00:30:17.224,0.0,27.0
BBSDEV,BBSDEV-16393,Task,6,Closed,Quality Review,,Done,Doing,,2017-11-13 23:36:00,2017-12-12 00:30:17.224,,,27.0
BBSDEV,BBSDEV-16431,Task,1,Triage,,Open,ToDo,,ToDo,2017-11-21 00:24:00,2017-11-21 00:24:00,2018-11-02 05:36:29.915,346.0,346.0
BBSDEV,BBSDEV-16431,Task,2,Open,Triage,,ToDo,ToDo,,2017-11-21 00:24:00,2018-11-02 05:36:29.915,,,346.0
BBSDEV,BBSDEV-16439,Epic,1,Open,,Closed,ToDo,,Done,2017-11-21 04:00:00,2017-11-21 04:00:00,2018-03-19 05:12:05.082,118.0,118.0
BBSDEV,BBSDEV-16439,Epic,2,Closed,Open,Done,Done,ToDo,Done,2017-11-21 04:00:00,2018-03-19 05:12:05.082,2018-05-28 03:51:03.023,69.0,187.0
BBSDEV,BBSDEV-16439,Epic,3,Done,Closed,,Done,Done,,2017-11-21 04:00:00,2018-05-28 03:51:03.023,,,187.0
